Group,idba_tran_BLAST_nt_BOWTIE2,idba_tran_BLAST_nt_BWA,idba_tran_BLAST_SILVA_BOWTIE2,idba_tran_BLAST_SILVA_BWA,idba_tran_CREST_BOWTIE2,idba_tran_CREST_BWA,rnaSPAdes_BLAST_nt_BOWTIE2,rnaSPAdes_BLAST_nt_BWA,rnaSPAdes_BLAST_SILVA_BOWTIE2,rnaSPAdes_BLAST_SILVA_BWA,rnaSPAdes_CREST_BOWTIE2,rnaSPAdes_CREST_BWA,trinity_BLAST_nt_BOWTIE2,trinity_BLAST_nt_BWA,trinity_BLAST_SILVA_BOWTIE2,trinity_BLAST_SILVA_BWA,trinity_CREST_BOWTIE2,trinity_CREST_BWA
Bacteria:_Unknown,0.444330852,0.409428978,0.037096578,0.042437754,0.022813383,0.030975019,0.444396833,0.437674714,0.045955856,0.046299584,0.02565896,0.025912555,0.436820964,0.439317842,0.031373489,0.03060677,0.025298218,0.023755027
Bacteria:_Verrucomicrobia,0.005555886,0.007469273,0.075166422,0.066856293,0.078254882,0.060144824,0.008160168,0.010776536,0.088842594,0.088064149,0.095794756,0.094701245,0.022889251,0.020694426,0.090784638,0.087685511,0.093986372,0.090050842
Eukaryota:_Acanthocephala,0,0,1.19E-06,6.06E-07,0,0,0,0,6.41E-07,6.73E-07,0,0,0,0,6.54E-07,7.05E-06,0,0
Eukaryota:_Annelida,0.001049437,0.002314204,0.005745774,0.005392189,0.001083376,0.00233932,0.00344681,0.003311301,0.003928921,0.003734221,0.003937102,0.003782892,0.002983247,0.002853723,0.003249612,0.003263285,0.003316627,0.003326306
Eukaryota:_Apicomplexa,0.005056192,0.004350882,0.001853976,0.0026483,0.000823657,0.000345573,0.006723892,0.006719258,0.002221289,0.002467978,0.000420686,0.000553873,0.010681525,0.009258307,0.007105861,0.006352802,0.002236999,0.002044821
Eukaryota:_Arthropoda,0.002684711,0.003165616,0.006932697,0.00682603,0.00389206,0.003408587,0.001900735,0.002078437,0.004356025,0.004499316,0.003318296,0.003574069,0.003456712,0.003248364,0.003867209,0.003780704,0.003738624,0.003631367
Eukaryota:_Ascomycota,0.031228987,0.023165172,0.03127874,0.020125884,0.036911847,0.025561583,0.016190695,0.016681417,0.018354135,0.018614773,0.021260776,0.021404413,0.015847459,0.01421977,0.017426148,0.016118191,0.019469846,0.018493921
Eukaryota:_Bacillariophyta,0.002823389,0.001485299,6.56E-05,0.001716175,6.36E-05,0.000156084,0.000948387,0.001025586,2.05E-05,2.65E-05,0.000294824,0.000324266,0.001877628,0.001683319,0.00012575,0.000106475,0.000691464,0.000478846
Eukaryota:_Basidiomycota,0.012612971,0.008183311,0.014609057,0.010270792,0.015594676,0.009848035,0.004714678,0.004883258,0.008148113,0.008134842,0.009320672,0.009470467,0.00668351,0.006436595,0.008144739,0.008252802,0.010325487,0.010160233
Eukaryota:_Blastocladiomycota,0.000138459,6.14E-05,0.000174085,9.32E-05,0.000464548,0.00026338,9.08E-05,0.000118006,5.25E-05,3.25E-05,9.13E-05,8.41E-05,0.000267242,0.000302902,0.000200354,0.000253347,0.000200441,0.000252068
Eukaryota:_Brachiopoda,0,0,0,0,0,0,0,0,0,0,0,0,1.69E-06,5.31E-06,1.73E-06,5.45E-06,1.80E-06,5.66E-06
Eukaryota:_Cercozoa,0.02154535,0.016375995,0.087724465,0.059998165,0.061176709,0.041255959,0.027558096,0.027834122,0.047383159,0.048346199,0.048136339,0.048544969,0.028310336,0.03365131,0.058279286,0.059662362,0.052944254,0.053166609
Eukaryota:_Chlorophyta,0.002945116,0.002622953,0.003894854,0.00323696,0.003648854,0.002907424,0.000577747,0.000623144,0.000834217,0.001056335,0.005405661,0.005329253,0.00181416,0.001742676,0.003304642,0.003495289,0.007030895,0.006795632
Eukaryota:_Chordata,0,0,0,0,0,0,1.59E-06,0.000107682,7.27E-06,1.89E-05,0,0,3.20E-06,0.000127942,0.000143093,0.000374607,1.84E-05,3.59E-05
Eukaryota:_Chytridiomycota,0.00682145,0.004723871,0.007555036,0.003766498,0.01440214,0.007735758,0.001739234,0.001731099,0.002890737,0.002853975,0.002821683,0.003104133,0.002051684,0.001947552,0.002012112,0.002070784,0.003342582,0.003139768
Eukaryota:_Ciliophora,0.005586646,0.009704521,0.014860496,0.019111538,0.01734611,0.016718345,0.016986993,0.016805112,0.03453954,0.034356155,0.033499488,0.033185323,0.014576635,0.014799919,0.031454131,0.029988638,0.031916595,0.030442584
Eukaryota:_Cnidaria,0.002787807,0.003966609,0.002902883,0.005381022,0.003108252,0.004382153,9.72E-06,2.79E-05,0.001445083,0.001137902,0.001523438,0.00119245,0.00015398,0.000192876,9.66E-05,0.000103629,9.17E-05,0.000122197
Eukaryota:_Cryptomycota,3.14E-06,1.73E-06,0.003199781,0.003312927,0.003139418,0.003493942,0.000210798,0.000170393,0.001014024,0.001147055,0.000403964,0.000575022,5.50E-05,4.84E-05,0.001163012,0.001158317,0.001147174,0.001236166
Eukaryota:_Ctenophora,0,0,5.89E-06,7.31E-06,6.12E-06,7.54E-06,0,0,0,0,0,0,0,0,2.31E-06,2.39E-06,7.56E-06,7.13E-06
Eukaryota:_Discosea,0.004233038,0.00500468,0.00888005,0.007877482,0.003546362,0.003836385,0.00445289,0.004656067,0.006692981,0.007009828,0.004598042,0.005152553,0.003455093,0.00385836,0.009061713,0.010339724,0.005566664,0.006366429
Eukaryota:_Echinodermata,0,0,0.004234827,0.003141498,0,0,0,0,0.000285354,0.000262267,0,0,0,0,0.000185317,0.000262232,0,0
Eukaryota:_Endomyxa,0.000567206,0.000413706,0.000924007,0.000689195,0.000364459,0.000251356,7.75E-06,1.58E-05,6.70E-05,8.37E-05,3.48E-05,3.38E-05,7.12E-06,7.88E-06,6.31E-05,8.68E-05,4.82E-05,4.68E-05
Eukaryota:_Euglenozoa,0.010578102,0.007606618,0.015680171,0.011370836,0.009604554,0.00576227,0.009888533,0.010455024,0.012597177,0.013268592,0.007100301,0.007340115,0.008021455,0.007884515,0.010768025,0.010763855,0.007960992,0.007564696
Eukaryota:_Evosea,0.011585307,0.008799735,0.017978377,0.017350951,0.00838783,0.005731139,0.013968008,0.013745805,0.009055521,0.009546418,0.004340178,0.004494651,0.018806976,0.018892698,0.010956112,0.012906721,0.005469003,0.005622366
